optimizer,beta,grad_mode,feature_projection,lr_w,lr_v,momentum,readout_optimizer,muon_ns_steps,muon_nesterov,muon_update_scale,freon_c,trunc_frac,rand_spectrum_high,spectral_assume_rank_one,num_widths,num_runs,chi_width,loss_slope,loss_r2,delta_gap,gap_slope,gap_r2,tau_hww_trace,hww_trace_slope,hww_trace_r2,tau_haa_trace,haa_trace_slope,haa_trace_r2,widths,mean_losses,mean_bbp_steps
freon,1.2,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,2.217086007786248,-2.217086007786248,0.9144102304889123,0.8832796413327435,-0.8832796413327435,0.9956179606774638,1.9817867523905741,-1.9817867523905741,0.999934436897297,2.032844937906286,-2.032844937906286,0.9999085346927724,32 64 128 256 512 1024 2048,3.93196257e-02 1.82003925e-02 7.44107723e-03 2.63249401e-03 7.18739117e-04 7.08038472e-05 2.04405463e-06,0.00 0.00 0.00 0.00 0.00 0.00 0.00
fro_norm,1.2,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,2.217086007786248,-2.217086007786248,0.9144102304889123,0.8832796413327435,-0.8832796413327435,0.9956179606774638,1.9817867523905741,-1.9817867523905741,0.999934436897297,2.032844937906286,-2.032844937906286,0.9999085346927724,32 64 128 256 512 1024 2048,3.93196257e-02 1.82003925e-02 7.44107723e-03 2.63249401e-03 7.18739117e-04 7.08038472e-05 2.04405463e-06,0.00 0.00 0.00 0.00 0.00 0.00 0.00
muon,1.2,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,2.181469389656478,-2.181469389656478,0.9178504832184331,0.8654520499362278,-0.8654520499362278,0.9942475435833091,1.9767127102397744,-1.9767127102397744,0.99992828713885,2.0333407504069667,-2.0333407504069667,0.9999171720566851,32 64 128 256 512 1024 2048,3.85249580e-02 1.81257787e-02 7.43840837e-03 2.63600447e-03 7.20549394e-04 7.46739655e-05 2.42482558e-06,0.00 0.00 0.00 0.00 0.00 0.00 0.00
polar,1.2,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,2.217086007786248,-2.217086007786248,0.9144102304889123,0.8832796413327435,-0.8832796413327435,0.9956179606774638,1.9817867523905741,-1.9817867523905741,0.999934436897297,2.032844937906286,-2.032844937906286,0.9999085346927724,32 64 128 256 512 1024 2048,3.93196257e-02 1.82003925e-02 7.44107723e-03 2.63249401e-03 7.18739117e-04 7.08038472e-05 2.04405463e-06,0.00 0.00 0.00 0.00 0.00 0.00 0.00
rand_spectrum,1.2,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,2.217086007786248,-2.217086007786248,0.9144102304889123,0.8832796413327435,-0.8832796413327435,0.9956179606774638,1.9817867523905741,-1.9817867523905741,0.999934436897297,2.032844937906286,-2.032844937906286,0.9999085346927724,32 64 128 256 512 1024 2048,3.93196257e-02 1.82003925e-02 7.44107723e-03 2.63249401e-03 7.18739117e-04 7.08038472e-05 2.04405463e-06,0.00 0.00 0.00 0.00 0.00 0.00 0.00
sgd,1.2,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,-0.49142823888099246,0.49142823888099246,0.7160229345415935,0.9988338542775804,-0.9988338542775804,0.9944293406753532,2.026461713623191,-2.026461713623191,0.9999185756068492,2.0319844965400127,-2.0319844965400127,0.9985272758637022,32 64 128 256 512 1024 2048,4.30731053e-02 3.20543305e-02 2.67768161e-02 3.53667910e-02 6.91843679e-02 1.52888263e-01 2.66187827e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
trunc_sgd,1.2,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,-0.5666094825618964,0.5666094825618964,0.9179628267713685,0.8994854628912132,-0.8994854628912132,0.9898189815577736,2.007265135735929,-2.007265135735929,0.9999658725560886,2.1280554459469725,-2.1280554459469725,0.9987007928061733,32 64 128 256 512 1024 2048,4.74665351e-02 4.40779502e-02 4.82921253e-02 8.54221061e-02 1.72831386e-01 2.71814227e-01 3.60627164e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
freon,1.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,2.3543876558373,-2.3543876558373,0.9171869006221898,0.8856000321105628,-0.8856000321105628,0.9956271179449204,1.9819990711782796,-1.9819990711782796,0.9999349442060006,2.032577620738362,-2.032577620738362,0.9999146555452534,32 64 128 256 512 1024 2048,3.33772128e-02 1.43363538e-02 5.37027884e-03 1.78860446e-03 4.66996396e-04 3.85276180e-05 9.45953995e-07,0.00 0.00 0.00 0.00 0.00 0.00 0.00
fro_norm,1.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,2.3543876558373,-2.3543876558373,0.9171869006221898,0.8856000321105628,-0.8856000321105628,0.9956271179449204,1.9819990711782796,-1.9819990711782796,0.9999349442060006,2.032577620738362,-2.032577620738362,0.9999146555452534,32 64 128 256 512 1024 2048,3.33772128e-02 1.43363538e-02 5.37027884e-03 1.78860446e-03 4.66996396e-04 3.85276180e-05 9.45953995e-07,0.00 0.00 0.00 0.00 0.00 0.00 0.00
muon,1.5,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,2.306997315948045,-2.306997315948045,0.9191252121615725,0.8551671016124661,-0.8551671016124661,0.9935425451775214,1.9745671720292068,-1.9745671720292068,0.9999321817892203,2.033133817169238,-2.033133817169238,0.9999216938339117,32 64 128 256 512 1024 2048,3.25572913e-02 1.42940972e-02 5.36766260e-03 1.79123487e-03 4.68910769e-04 4.45661050e-05 1.13382051e-06,0.00 0.00 0.00 0.00 0.00 0.00 0.00
polar,1.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,2.3543876558373,-2.3543876558373,0.9171869006221898,0.8856000321105628,-0.8856000321105628,0.9956271179449204,1.9819990711782796,-1.9819990711782796,0.9999349442060006,2.032577620738362,-2.032577620738362,0.9999146555452534,32 64 128 256 512 1024 2048,3.33772128e-02 1.43363538e-02 5.37027884e-03 1.78860446e-03 4.66996396e-04 3.85276180e-05 9.45953995e-07,0.00 0.00 0.00 0.00 0.00 0.00 0.00
rand_spectrum,1.5,population,bap,0.02785744,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,2.3543876558373,-2.3543876558373,0.9171869006221898,0.8856000321105628,-0.8856000321105628,0.9956271179449204,1.9819990711782796,-1.9819990711782796,0.9999349442060006,2.032577620738362,-2.032577620738362,0.9999146555452534,32 64 128 256 512 1024 2048,3.33772128e-02 1.43363538e-02 5.37027884e-03 1.78860446e-03 4.66996396e-04 3.85276180e-05 9.45953995e-07,0.00 0.00 0.00 0.00 0.00 0.00 0.00
sgd,1.5,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,0,7,21,-0.5168310162895428,0.5168310162895428,0.650967939392713,1.005449221737751,-1.005449221737751,0.9943994849818332,2.02693311318059,-2.02693311318059,0.9999143752485468,2.0208635061566333,-2.0208635061566333,0.9984532303576215,32 64 128 256 512 1024 2048,3.69938637e-02 2.61662348e-02 1.97955643e-02 2.42448809e-02 5.22330503e-02 1.35753761e-01 2.52983421e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
trunc_sgd,1.5,population,bap,0.04,0.04,0.0,sgd,5,0,sqrt_aspect,0.5,0.05,1.175,1,7,21,-0.6148702317764732,0.6148702317764732,0.8863488822901203,0.8994854628912132,-0.8994854628912132,0.9898189815577736,2.007265135735929,-2.007265135735929,0.9999658725560886,2.117858662320614,-2.117858662320614,0.9984737703950282,32 64 128 256 512 1024 2048,4.08679123e-02 3.53488798e-02 3.53268205e-02 6.75280293e-02 1.55477325e-01 2.59451807e-01 3.52605025e-01,0.00 0.00 0.00 0.00 0.00 0.00 0.00
