align_step,alpha,bbp_step,beta,dim,feature_projection,feature_rate_ratio,freon_c,grad_mode,h_bulk_edge_q,h_edge_isotropic,h_gap_q,haa_trace_over_n,hww_bulk_edge_q,hww_edge_isotropic,hww_gap_q,hww_top_eig,hww_trace_over_n,loss,lr_v,lr_w,momentum,muon_nesterov,muon_ns_steps,muon_update_scale,optimizer,projected_lambda_residual_norm,projected_residual_teacher_cos,projected_teacher_norm,r_i,r_ii,r_ii_projected,rand_spectrum_high,readout_optimizer,residual_lambda_norm,rmsprop_alpha,rmsprop_momentum,seed,source,spectral_assume_rank_one,spike_m,step,sv_bulk_edge_q,sv_gap_q,top_h_proxy_eig,top_right_teacher_align_abs,top_singular_value,trace_w_lambda_wt_over_n,trunc_frac,v_norm,w_fro_over_n,width
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.09582879394292831,4.0,2.3562493324279785,0.00011623150203377008,0.00018716561316978186,0.0078125,0.0046020494773983955,0.004789215046912432,2.1263531380100176e-05,0.00426117517054081,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.011495175771415234,0.09839649498462677,17.076248168945312,0.003308267332613468,1.7729840278625488,1.3495500087738037,1.175,sgd,0.008749833330512047,0.99,0.0,1,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=512_D=512_alpha=1.25_seed=1_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,126.49578857421875,3000,43.820587158203125,292.64111328125,2.452078104019165,0.7260538339614868,336.4617004394531,5.5741071701049805,0.05,64.46075439453125,756.909423828125,512
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.0920301079750061,4.0,2.022334098815918,9.185224189423025e-05,0.0001797463046386838,0.0078125,0.00394987128674984,0.004129617474973202,2.0334187865955755e-05,0.0034032296389341354,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.012540271505713463,0.06027619540691376,15.164278984069824,0.0032894897740334272,2.0083796977996826,1.3916009664535522,1.175,sgd,0.008689120411872864,0.99,0.0,2,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=512_D=512_alpha=1.25_seed=2_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,128.46527099609375,3000,43.35868835449219,259.70361328125,2.1143641471862793,0.7336652278900146,303.0622863769531,5.3304853439331055,0.05,57.303131103515625,718.8177490234375,512
-1,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.41267794370651245,1.8321067811865475,183.48191833496094,8.78766968526179e-06,0.006448092870414257,0.028626668456039804,2.8669049739837646,2.8733530044555664,0.045583389699459076,0.1927206963300705,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.12162108719348907,0.04963815584778786,27.287918090820312,0.02973288483917713,13.764403343200684,10.496771812438965,1.175,sgd,0.09274858236312866,0.99,0.0,0,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=64_D=512_alpha=1.25_seed=0_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,4.472184181213379,3000,44.71723937988281,1101.297119140625,183.89459228515625,0.04600590094923973,1146.014404296875,186.70956420898438,0.05,0.7833130359649658,21035.583984375,64
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.517081618309021,1.8321067811865475,121.42058563232422,1.409433207300026e-05,0.008079400286078453,0.028626668456039804,1.897196650505066,1.9052760601043701,0.030526109039783478,0.18110407888889313,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.18109484016895294,0.14506560564041138,36.84361267089844,0.030979279428720474,9.244580268859863,5.566384315490723,1.175,sgd,0.10904155671596527,0.99,0.0,1,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=64_D=512_alpha=1.25_seed=1_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,14.028397560119629,3000,51.772850036621094,986.8790283203125,121.93766784667969,0.137314572930336,1038.65185546875,125.03494262695312,0.05,0.9920207262039185,17389.017578125,64
300,1.25,0,0.2,512,bap,1.0,0.5,minibatch,0.5622764229774475,1.8321067811865475,113.76278686523438,8.759408228797838e-05,0.008785569109022617,0.028626668456039804,1.777543544769287,1.7863291501998901,0.028696639463305473,0.18775317072868347,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.23000511527061462,0.10285229235887527,32.11715316772461,0.031749412417411804,3.4304392337799072,1.7580312490463257,1.175,sgd,0.11787301301956177,0.99,0.0,2,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.2_N=64_D=512_alpha=1.25_seed=2_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,14.237725257873535,3000,47.91172409057617,907.164306640625,114.32506561279297,0.14659932255744934,955.0760498046875,117.54143524169922,0.05,2.473067045211792,14791.068359375,64
300,1.25,0,0.5,512,bap,1.0,0.5,minibatch,0.05286869779229164,5.82842712474619,2.6872501373291016,6.62408274365589e-06,5.1629587687784806e-05,0.005691823364009951,0.0026242677122354507,0.0026758972089737654,5.666452125296928e-06,4.364032328866771e-15,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,3.957972793955378e-08,0.08024206757545471,6.750519752502441,0.0013032128335908055,745429.25,580478.125,1.175,sgd,3.0821389884749806e-08,0.99,0.0,0,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.5_N=1024_D=512_alpha=1.25_seed=0_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,35.61534881591797,3000,53.59016036987305,299.458740234375,2.7401187419891357,0.4103325307369232,353.04888916015625,5.941705703735352,0.05,43.5252571105957,661.9146728515625,1024
300,1.25,0,0.5,512,bap,1.0,0.5,minibatch,0.04798705503344536,5.82842712474619,2.6632843017578125,6.241135906748241e-06,4.686235843109898e-05,0.005691823364009951,0.0026008635759353638,0.0026477258652448654,5.571459041675553e-06,3.1404508849105714e-15,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,1.5356539151412107e-08,-0.054335180670022964,7.42755126953125,0.0013032128335908055,2061066.75,1541332.625,1.175,sgd,1.1484118545013189e-08,0.99,0.0,1,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.5_N=1024_D=512_alpha=1.25_seed=1_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,35.61534881591797,3000,53.25099563598633,308.1321105957031,2.711271286010742,0.5322355031967163,361.38311767578125,5.842098236083984,0.05,42.2484016418457,666.018798828125,1024
300,1.25,0,0.5,512,bap,1.0,0.5,minibatch,0.05280208960175514,5.82842712474619,2.5308115482330322,5.762144155596616e-06,5.1564540626714006e-05,0.005691823364009951,0.0024714956525713205,0.0025230601895600557,5.4805673244118225e-06,2.17551709238734e-15,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,1.5637478867347454e-08,0.09585842490196228,7.142106533050537,0.0013032128335908055,1961082.875,1575298.125,1.175,sgd,1.2561270246180811e-08,0.99,0.0,2,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.5_N=1024_D=512_alpha=1.25_seed=2_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,35.61534881591797,3000,53.01824188232422,288.88446044921875,2.583613634109497,0.5094714164733887,341.9027099609375,5.746791362762451,0.05,40.594810485839844,657.02978515625,1024
300,1.25,0,0.5,512,bap,1.0,0.5,minibatch,0.3493267595767975,2.25,258.0580139160156,0.00021307608403731138,0.0027291153091937304,0.017578125,2.016078233718872,2.0188074111938477,0.01598184183239937,0.10832316428422928,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.21468760073184967,0.11749782413244247,11.636554718017578,0.01251609344035387,0.7000572085380554,0.42695510387420654,1.175,sgd,0.1309349685907364,0.99,0.0,0,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.5_N=128_D=512_alpha=1.25_seed=0_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,6.576281547546387,3000,74.72206115722656,1860.7835693359375,258.4073486328125,0.1119353398680687,1935.505615234375,261.84649658203125,0.05,10.909649848937988,29914.15234375,128
300,1.25,0,0.5,512,bap,1.0,0.5,minibatch,0.29809555411338806,2.25,175.08224487304688,0.00015674413589295,0.0023288715165108442,0.017578125,1.3678300380706787,1.3701589107513428,0.010901014320552349,0.11039024591445923,0.02,0.02,0.95,0,5,sqrt_aspect,adamw,0.23615531623363495,0.18022121489048004,13.810091972351074,0.013033505529165268,0.6899097561836243,0.45254644751548767,1.175,sgd,0.15490612387657166,0.99,0.0,1,results/fullrank_momentum_grid_v2/opt=adamw_beta=0.5_N=128_D=512_alpha=1.25_seed=1_grad=minibatch_lrw=0.02_lrv=0.02_mom=0.95_proj=bap_ropt=sgd_ns=5_nesterov=0_scale=sqrt_aspect_freonc=0.5_trunc=0.05_randhi=1.175_rmsa=0.99_rmsmom=0/metrics.jsonl,0,8.769872665405273,3000,68.68962097167969,1543.9635009765625,175.38034057617188,0.15794242918491364,1612.653076171875,178.6022186279297,0.05,9.357053756713867,20916.84375,128
