optimizer,beta,grad_mode,feature_projection,lr_w,lr_v,momentum,readout_optimizer,muon_ns_steps,muon_nesterov,muon_update_scale,rmsprop_alpha,rmsprop_momentum,freon_c,trunc_frac,rand_spectrum_high,spectral_assume_rank_one,num_widths,num_runs,chi_width,loss_slope,loss_r2,delta_gap,gap_slope,gap_r2,tau_hww_trace,hww_trace_slope,hww_trace_r2,tau_haa_trace,haa_trace_slope,haa_trace_r2,widths,mean_losses,mean_bbp_steps
trunc_sgd,0.8,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,-0.43563785964732665,0.43563785964732665,0.9570889766233412,1.233206586542898,-1.233206586542898,0.9802159818988769,1.8006731420428108,-1.8006731420428108,0.9988796265423822,2.131476209118545,-2.131476209118545,0.9996987449582663,64 128 256 512 1024,1.41522651e-01 1.79316615e-01 3.03759833e-01 3.81846577e-01 4.38926786e-01,0.00 0.00 0.00 0.00 0.00
adamw,1.2,minibatch,bap,0.02,0.02,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,0.2997605933514487,-0.2997605933514487,0.8926767372005674,1.0890110980186838,-1.0890110980186838,0.9984211671748198,2.0886339115404087,-2.0886339115404087,0.9995794480494424,1.8224230404988895,-1.8224230404988895,0.9918286500110932,64 128 256 512 1024,1.95574239e-01 1.93014791e-01 1.14644570e-01 1.12035001e-01 9.08333709e-02,0.00 0.00 0.00 0.00 0.00
freon,1.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.7296627623945575,-2.7296627623945575,0.9504099906543091,1.1480496592084863,-1.1480496592084863,0.9902930323209366,1.7564324138693606,-1.7564324138693606,0.9938038195453897,2.0359365459776995,-2.0359365459776995,0.9999687907547928,64 128 256 512 1024,1.31626573e-02 5.92201529e-03 1.63937752e-03 8.51661801e-05 8.54855883e-06,0.00 0.00 0.00 0.00 0.00
fro_norm,1.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.8389025385360207,-2.8389025385360207,0.9496769910272879,0.9319499033902329,-0.9319499033902329,0.9994231623063666,1.9980485530614265,-1.9980485530614265,0.9999852960724408,2.0354587341562596,-2.0354587341562596,0.9999708350524616,64 128 256 512 1024,1.45399850e-02 6.15226508e-03 1.64964306e-03 8.64854325e-05 6.54087580e-06,0.00 0.00 0.00 0.00 0.00
muon,1.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.8139285203725404,-2.8139285203725404,0.9456588002921363,0.8105410705729592,-0.8105410705729592,0.994071970267854,1.9583714982515743,-1.9583714982515743,0.9999134539176168,2.0380964834618163,-2.0380964834618163,0.9999692909023655,64 128 256 512 1024,1.44842664e-02 6.13394209e-03 1.63236967e-03 1.14549170e-04 6.16433052e-06,0.00 0.00 0.00 0.00 0.00
polar,1.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.9693757401768854,-2.9693757401768854,0.9338681538631665,1.1541990407530793,-1.1541990407530793,0.9903972097060618,1.7546501977626603,-1.7546501977626603,0.9934435526475007,2.0359368096328936,-2.0359368096328936,0.9999687929965644,64 128 256 512 1024,1.31626573e-02 5.91936583e-03 1.63937752e-03 8.64755226e-05 3.69554706e-06,0.00 0.00 0.00 0.00 0.00
rand_spectrum,1.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,2.5169914122842125,-2.5169914122842125,0.9592594182241786,1.1780002505261937,-1.1780002505261937,0.9897463711985791,1.8198037720421665,-1.8198037720421665,0.9945826319214732,2.0364473366188154,-2.0364473366188154,0.9999688056738438,64 128 256 512 1024,1.33366268e-02 5.98586366e-03 1.63098941e-03 1.33325057e-04 1.45446726e-05,0.00 0.00 0.00 0.00 0.00
rmsprop,1.2,minibatch,bap,0.02,0.01,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,0.17655752558534352,-0.17655752558534352,0.9713888689832547,1.2552651314825478,-1.2552651314825478,0.9992743215869347,2.2552782584881976,-2.2552782584881976,0.999774236773467,1.1499084151621581,-1.1499084151621581,0.8313408355521184,64 128 256 512 1024,2.19483187e-01 2.02400039e-01 1.72768831e-01 1.46226818e-01 1.40038510e-01,0.00 0.00 0.00 0.00 0.00
sgd,1.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,0.18354387234054478,-0.18354387234054478,0.2815436329878729,0.9453922233714559,-0.9453922233714559,0.9994907604538287,2.005008221811613,-2.005008221811613,0.9999869169877253,2.0266078062894954,-2.0266078062894954,0.999983202601469,64 128 256 512 1024,1.45513400e-02 8.22143412e-03 5.88060248e-03 5.77872681e-03 9.18754842e-03,0.00 0.00 0.00 0.00 0.00
trunc_sgd,1.2,minibatch,bap,0.16,0.04,0.95,sgd,5,0,sqrt_aspect,0.99,0.0,0.5,0.05,1.175,0,5,15,-0.6141815249815693,0.6141815249815693,0.9452371467161556,1.2422232378229183,-1.2422232378229183,0.990086252631903,1.8269716257583666,-1.8269716257583666,0.9994444783165691,2.145155285206343,-2.145155285206343,0.999657476838989,64 128 256 512 1024,8.53833407e-02 1.27706667e-01 2.71913504e-01 3.60504488e-01 4.27031487e-01,0.00 0.00 0.00 0.00 0.00
